序號, 區碼, 區名, 地段碼, 地段名, 地號, Longitude, Latitude
1,D35,龍崎區,7036,番社段,1,120.4285701125,22.9427696371
2,D35,龍崎區,7036,番社段,1-1,120.4285508466,22.9432058399
3,D35,龍崎區,7036,番社段,1-2,120.4285646262,22.9429180813
4,D35,龍崎區,7036,番社段,2,120.4281919298,22.9432654107
5,D35,龍崎區,7036,番社段,3,120.4280963627,22.9430130424
6,D35,龍崎區,7036,番社段,3-1,120.4271348156,22.9430508251
7,D35,龍崎區,7036,番社段,4-1,120.4277959314,22.9425282706
8,D35,龍崎區,7036,番社段,6-4,120.4255965075,22.9426433946
9,D35,龍崎區,7036,番社段,13-3,120.4266606414,22.9416455690
10,D35,龍崎區,7036,番社段,4,120.4275414564,22.9422237648
11,D35,龍崎區,7036,番社段,4-2,120.4277462794,22.9422366425
12,D35,龍崎區,7036,番社段,4-3,120.4274730501,22.9418924715
13,D35,龍崎區,7036,番社段,4-4,120.4277565577,22.9420105446
14,D35,龍崎區,7036,番社段,9-8,120.4250683469,22.9405871155
15,D35,龍崎區,7036,番社段,9-10,120.4249255096,22.9401154344
16,D35,龍崎區,7036,番社段,9-26,120.4261639618,22.9393963022
17,D35,龍崎區,7036,番社段,10-2,120.4260821812,22.9409465316
18,D35,龍崎區,7036,番社段,12,120.4265091159,22.9408430610
19,D35,龍崎區,7036,番社段,12-1,120.4265041219,22.9410628393
20,D35,龍崎區,7036,番社段,12-2,120.4272166471,22.9402659407
21,D35,龍崎區,7036,番社段,12-3,120.4277492720,22.9397825436
22,D35,龍崎區,7036,番社段,13,120.4267811839,22.9412488002
23,D35,龍崎區,7036,番社段,13-1,120.4284756167,22.9417608189
24,D35,龍崎區,7036,番社段,13-2,120.4278871449,22.9416580597
25,D35,龍崎區,7036,番社段,14,120.4283258892,22.9406824727
26,D35,龍崎區,7036,番社段,14-1,120.4283176419,22.9404962919
27,D35,龍崎區,7036,番社段,15-2,120.4260213007,22.9391482148
28,D35,龍崎區,7036,番社段,15-3,120.4261573181,22.9392931415
29,D35,龍崎區,7036,番社段,5,120.4247309919,22.9435837745
30,D35,龍崎區,7036,番社段,6,120.4234979216,22.9437417279
31,D35,龍崎區,7036,番社段,6-1,120.4245155012,22.9432510857
32,D35,龍崎區,7036,番社段,6-2,120.4251693363,22.9435763023
33,D35,龍崎區,7036,番社段,6-3,120.4254325999,22.9435673196
34,D35,龍崎區,7036,番社段,6-8,120.4232668042,22.9438734308
35,D35,龍崎區,7036,番社段,6-9,120.4232129842,22.9439023325
36,D35,龍崎區,7036,番社段,6-13,120.4228749619,22.9427488128
37,D35,龍崎區,7036,番社段,6-14,120.4230863985,22.9430558586
38,D35,龍崎區,7036,番社段,6-15,120.4231678397,22.9431687656
39,D35,龍崎區,7036,番社段,6-16,120.4233686528,22.9431840475
40,D35,龍崎區,7036,番社段,6-17,120.4235236948,22.9440129964
41,D35,龍崎區,7036,番社段,6-18,120.4235914572,22.9439944924
42,D35,龍崎區,7036,番社段,6-19,120.4234366847,22.9437815662
43,D35,龍崎區,7036,番社段,6-20,120.4236785233,22.9428505144
44,D35,龍崎區,7036,番社段,6-27,120.4236271586,22.9439173199
45,D35,龍崎區,7036,番社段,6-28,120.4234817389,22.9437584980
46,D35,龍崎區,7036,番社段,6-29,120.4232993224,22.9435520976
47,D35,龍崎區,7036,番社段,6-30,120.4237063201,22.9430009608
48,D35,龍崎區,7036,番社段,6-33,120.4234243243,22.9434353925
49,D35,龍崎區,7036,番社段,6-34,120.4233306281,22.9434286010
50,D35,龍崎區,7036,番社段,6-35,120.4237153991,22.9430838849
51,D35,龍崎區,7036,番社段,6-42,120.4237851692,22.9432915909
52,D35,龍崎區,7036,番社段,6-43,120.4235810067,22.9435009878
53,D35,龍崎區,7036,番社段,6-44,120.4236213049,22.9437914107
54,D35,龍崎區,7036,番社段,6-47,120.4235563877,22.9438510679
55,D35,龍崎區,7036,番社段,6-49,120.4233767848,22.9438850910
56,D35,龍崎區,7036,番社段,6-50,120.4232598303,22.9437819813
57,D35,龍崎區,7036,番社段,7,120.4233701514,22.9436016998
58,D35,龍崎區,7036,番社段,7-1,120.4225678066,22.9439610341
59,D35,龍崎區,7036,番社段,7-2,120.4225136174,22.9440382187
60,D35,龍崎區,7036,番社段,7-3,120.4221362391,22.9442940838
61,D35,龍崎區,7036,番社段,7-4,120.4216494522,22.9437959992
62,D35,龍崎區,7036,番社段,7-5,120.4223397550,22.9433225025
63,D35,龍崎區,7036,番社段,7-6,120.4230274031,22.9436996070
64,D35,龍崎區,7036,番社段,7-7,120.4228053596,22.9438357648
65,D35,龍崎區,7036,番社段,7-8,120.4228442993,22.9434767943
66,D35,龍崎區,7036,番社段,7-9,120.4230145718,22.9434641018
67,D35,龍崎區,7036,番社段,7-10,120.4230917705,22.9436387189
68,D35,龍崎區,7036,番社段,7-11,120.4232885872,22.9436553786
69,D35,龍崎區,7036,番社段,7-12,120.4234554408,22.9432927105
70,D35,龍崎區,7036,番社段,7-13,120.4235227714,22.9428769281
71,D35,龍崎區,7036,番社段,7-14,120.4233581242,22.9432653496
72,D35,龍崎區,7036,番社段,7-15,120.4227972137,22.9436841566
73,D35,龍崎區,7036,番社段,7-16,120.4229219533,22.9436956336
74,D35,龍崎區,7036,番社段,7-17,120.4229085398,22.9440287420
75,D35,龍崎區,7036,番社段,7-18,120.4224849796,22.9438754968
76,D35,龍崎區,7036,番社段,7-19,120.4221331055,22.9439517238
77,D35,龍崎區,7036,番社段,7-20,120.4220351324,22.9440477815
78,D35,龍崎區,7036,番社段,7-21,120.4232164841,22.9437685747
79,D35,龍崎區,7036,番社段,7-22,120.4233495605,22.9436168092
80,D35,龍崎區,7036,番社段,7-23,120.4233404906,22.9433702272
81,D35,龍崎區,7036,番社段,7-25,120.4236160469,22.9431767436
82,D35,龍崎區,7036,番社段,7-29,120.4232337149,22.9438068462
83,D35,龍崎區,7036,番社段,7-30,120.4233069032,22.9437656706
84,D35,龍崎區,7036,番社段,7-32,120.4231519961,22.9439349240
85,D35,龍崎區,7036,番社段,7-34,120.4236135672,22.9432248008
86,D35,龍崎區,7036,番社段,9-2,120.4221623042,22.9424308613
87,D35,龍崎區,7036,番社段,790,120.4217771977,22.9442105551
88,D35,龍崎區,7036,番社段,791,120.4218033456,22.9439412012
89,D35,龍崎區,7036,番社段,792,120.4215897599,22.9433766418
90,D35,龍崎區,7036,番社段,793,120.4218807079,22.9433921430
91,D35,龍崎區,7036,番社段,6-5,120.4247138277,22.9418505513
92,D35,龍崎區,7036,番社段,6-6,120.4243330602,22.9423049396
93,D35,龍崎區,7036,番社段,6-7,120.4238801349,22.9418171245
94,D35,龍崎區,7036,番社段,6-10,120.4235162306,22.9426339878
