序號, 區碼, 區名, 地段碼, 地段名, 地號, Longitude, Latitude
1,D31,左鎮區,6754,左鎮段,193,120.4172745365,23.0693964086
2,D31,左鎮區,6754,左鎮段,194,120.4172275291,23.0691595581
3,D31,左鎮區,6754,左鎮段,195-1,120.4170518628,23.0670874328
4,D31,左鎮區,6754,左鎮段,202,120.4175051718,23.0681591404
5,D31,左鎮區,6754,左鎮段,202-1,120.4177365771,23.0681381922
6,D31,左鎮區,6754,左鎮段,203,120.4177044155,23.0682846508
7,D31,左鎮區,6754,左鎮段,203-1,120.4175576399,23.0683328568
8,D31,左鎮區,6754,左鎮段,203-2,120.4174419028,23.0683550114
9,D31,左鎮區,6754,左鎮段,204,120.4180837319,23.0692865695
10,D31,左鎮區,6754,左鎮段,204-1,120.4181439508,23.0696350410
11,D31,左鎮區,6754,左鎮段,204-2,120.4178476682,23.0690752052
12,D31,左鎮區,6754,左鎮段,204-3,120.4176826398,23.0689856200
13,D31,左鎮區,6754,左鎮段,204-4,120.4179226319,23.0695399638
14,D31,左鎮區,6754,左鎮段,204-5,120.4174418770,23.0686614141
15,D31,左鎮區,6754,左鎮段,204-6,120.4176185513,23.0685048320
16,D31,左鎮區,6754,左鎮段,204-7,120.4180298730,23.0684906139
17,D31,左鎮區,6754,左鎮段,204-8,120.4175536683,23.0679921297
18,D31,左鎮區,6754,左鎮段,205,120.4180226760,23.0684696806
19,D31,左鎮區,6754,左鎮段,1355,120.4183473115,23.0654058471
20,D31,左鎮區,6754,左鎮段,1356,120.4098057874,23.0697964987
21,D31,左鎮區,6754,左鎮段,195-2,120.4174620892,23.0669830713
22,D31,左鎮區,6754,左鎮段,195-3,120.4179250735,23.0662445151
23,D31,左鎮區,6754,左鎮段,195-6,120.4178797745,23.0665838365
24,D31,左鎮區,6754,左鎮段,195-7,120.4165084721,23.0670507876
25,D31,左鎮區,6754,左鎮段,195-8,120.4176883406,23.0675127854
26,D31,左鎮區,6754,左鎮段,195-9,120.4174056544,23.0658617586
27,D31,左鎮區,6754,左鎮段,196,120.4175366282,23.0665892990
28,D31,左鎮區,6754,左鎮段,197,120.4171826358,23.0659036031
29,D31,左鎮區,6754,左鎮段,197-1,120.4171796628,23.0657690897
30,D31,左鎮區,6754,左鎮段,197-2,120.4172317204,23.0657121954
31,D31,左鎮區,6754,左鎮段,198,120.4176554292,23.0657580654
32,D31,左鎮區,6754,左鎮段,198-1,120.4175495374,23.0659261644
33,D31,左鎮區,6754,左鎮段,199,120.4179955456,23.0655664039
34,D31,左鎮區,6754,左鎮段,200,120.4179946302,23.0661425751
35,D31,左鎮區,6754,左鎮段,201,120.4179252188,23.0673922010
36,D31,左鎮區,6754,左鎮段,201-1,120.4177914328,23.0673714849
37,D31,左鎮區,6754,左鎮段,206,120.4189151601,23.0661751378
38,D31,左鎮區,6754,左鎮段,207,120.4185922196,23.0660672103
39,D31,左鎮區,6754,左鎮段,208,120.4183435836,23.0658627669
40,D31,左鎮區,6754,左鎮段,209,120.4173495898,23.0652938430
41,D31,左鎮區,6754,左鎮段,210,120.4171727246,23.0652620328
42,D31,左鎮區,6754,左鎮段,210-1,120.4170335665,23.0653907729
43,D31,左鎮區,6754,左鎮段,1368,120.4152522998,23.0627482188
44,D31,左鎮區,6754,左鎮段,1,120.4106589836,23.0775651197
45,D31,左鎮區,6754,左鎮段,1-3,120.4103360057,23.0783684202
46,D31,左鎮區,6754,左鎮段,1-4,120.4101821848,23.0775861713
47,D31,左鎮區,6754,左鎮段,3-2,120.4111020165,23.0777686675
48,D31,左鎮區,6754,左鎮段,4,120.4097087235,23.0774701190
49,D31,左鎮區,6754,左鎮段,5,120.4100973230,23.0772211725
50,D31,左鎮區,6754,左鎮段,6,120.4104676251,23.0768834910
51,D31,左鎮區,6754,左鎮段,7,120.4105258055,23.0763579617
52,D31,左鎮區,6754,左鎮段,8,120.4110532254,23.0766660695
53,D31,左鎮區,6754,左鎮段,9,120.4113805637,23.0767845215
54,D31,左鎮區,6754,左鎮段,10,120.4112225079,23.0756438666
55,D31,左鎮區,6754,左鎮段,10-1,120.4120101325,23.0757893812
56,D31,左鎮區,6754,左鎮段,11,120.4096007557,23.0756563561
57,D31,左鎮區,6754,左鎮段,12,120.4095902528,23.0759478466
58,D31,左鎮區,6754,左鎮段,13,120.4096777662,23.0763006105
59,D31,左鎮區,6754,左鎮段,14,120.4086933070,23.0760432674
60,D31,左鎮區,6754,左鎮段,15,120.4094980347,23.0752330102
61,D31,左鎮區,6754,左鎮段,15-1,120.4096500431,23.0752951478
62,D31,左鎮區,6754,左鎮段,16,120.4094143530,23.0749634621
63,D31,左鎮區,6754,左鎮段,17,120.4089885821,23.0746086020
64,D31,左鎮區,6754,左鎮段,18,120.4087678273,23.0747528345
65,D31,左鎮區,6754,左鎮段,18-1,120.4084443326,23.0749542359
66,D31,左鎮區,6754,左鎮段,19,120.4086078118,23.0739350004
67,D31,左鎮區,6754,左鎮段,19-1,120.4089076802,23.0741814492
68,D31,左鎮區,6754,左鎮段,94,120.4098954927,23.0752412125
69,D31,左鎮區,6754,左鎮段,1043,120.4083452858,23.0743962769
70,D31,左鎮區,6754,左鎮段,1043-1,120.4081733745,23.0744799248
71,D31,左鎮區,6754,左鎮段,1044,120.4091480016,23.0746717828
72,D31,左鎮區,6754,左鎮段,1051,120.4113347268,23.0783380923
73,D31,左鎮區,6754,左鎮段,1052,120.4110443013,23.0786709989
74,D31,左鎮區,6754,左鎮段,1053,120.4102796434,23.0788190851
75,D31,左鎮區,6754,左鎮段,1053-1,120.4094211003,23.0785982899
76,D31,左鎮區,6754,左鎮段,1053-2,120.4090775337,23.0782840714
77,D31,左鎮區,6754,左鎮段,1054,120.4103068550,23.0785212765
78,D31,左鎮區,6754,左鎮段,1055,120.4101104587,23.0784878635
79,D31,左鎮區,6754,左鎮段,1056,120.4099234417,23.0784360276
80,D31,左鎮區,6754,左鎮段,1057,120.4093309828,23.0782137203
81,D31,左鎮區,6754,左鎮段,1058,120.4095421685,23.0779426743
82,D31,左鎮區,6754,左鎮段,1059,120.4088751814,23.0783988300
83,D31,左鎮區,6754,左鎮段,1059-1,120.4086550410,23.0780272170
84,D31,左鎮區,6754,左鎮段,1059-2,120.4088238863,23.0778634895
85,D31,左鎮區,6754,左鎮段,1060,120.4092013697,23.0776184044
86,D31,左鎮區,6754,左鎮段,1061,120.4095820956,23.0776979704
87,D31,左鎮區,6754,左鎮段,1062,120.4097084944,23.0775850846
88,D31,左鎮區,6754,左鎮段,1063,120.4100985692,23.0766867367
89,D31,左鎮區,6754,左鎮段,1064,120.4104509123,23.0765459821
90,D31,左鎮區,6754,左鎮段,1065,120.4106081385,23.0761986007
91,D31,左鎮區,6754,左鎮段,1065-1,120.4107779855,23.0762143895
92,D31,左鎮區,6754,左鎮段,1066,120.4110928230,23.0763429409
93,D31,左鎮區,6754,左鎮段,1067,120.4109858450,23.0765756156
94,D31,左鎮區,6754,左鎮段,1068,120.4112233744,23.0768398895
95,D31,左鎮區,6754,左鎮段,1069,120.4112142080,23.0770070829
96,D31,左鎮區,6754,左鎮段,1070,120.4116978089,23.0772931615
97,D31,左鎮區,6754,左鎮段,1071,120.4119209160,23.0771003739
98,D31,左鎮區,6754,左鎮段,1072,120.4115695454,23.0768014649
99,D31,左鎮區,6754,左鎮段,1073,120.4117853811,23.0765961872
100,D31,左鎮區,6754,左鎮段,1074,120.4119210419,23.0762997352
101,D31,左鎮區,6754,左鎮段,1075,120.4125421767,23.0761530641
102,D31,左鎮區,6754,左鎮段,1076,120.4112905769,23.0760255613
103,D31,左鎮區,6754,左鎮段,1077,120.4112719348,23.0758359854
104,D31,左鎮區,6754,左鎮段,1078,120.4112127157,23.0755034435
105,D31,左鎮區,6754,左鎮段,1079,120.4102548792,23.0757542156
106,D31,左鎮區,6754,左鎮段,1080,120.4096963463,23.0753661521
107,D31,左鎮區,6754,左鎮段,1081,120.4099306596,23.0761384225
108,D31,左鎮區,6754,左鎮段,1082,120.4095898317,23.0758453418
109,D31,左鎮區,6754,左鎮段,1083,120.4097825101,23.0768231285
110,D31,左鎮區,6754,左鎮段,1084,120.4093784666,23.0761180346
111,D31,左鎮區,6754,左鎮段,1085,120.4091813458,23.0764164941
112,D31,左鎮區,6754,左鎮段,1086,120.4093945801,23.0772721832
113,D31,左鎮區,6754,左鎮段,1087,120.4087727292,23.0768075712
114,D31,左鎮區,6754,左鎮段,1088,120.4087334196,23.0762501697
115,D31,左鎮區,6754,左鎮段,1089,120.4089236367,23.0770768798
116,D31,左鎮區,6754,左鎮段,1089-1,120.4085585093,23.0765602031
117,D31,左鎮區,6754,左鎮段,1090,120.4084607989,23.0775182872
118,D31,左鎮區,6754,左鎮段,1090-1,120.4079314294,23.0766867917
119,D31,左鎮區,6754,左鎮段,1090-2,120.4084037168,23.0762051274
120,D31,左鎮區,6754,左鎮段,1092,120.4079616590,23.0758120058
121,D31,左鎮區,6754,左鎮段,1093,120.4092234941,23.0752493482
122,D31,左鎮區,6754,左鎮段,1094,120.4092739782,23.0748943859
123,D31,左鎮區,6754,左鎮段,1096,120.4108622425,23.0740936919
124,D31,左鎮區,6754,左鎮段,20,120.4080521240,23.0734550101
125,D31,左鎮區,6754,左鎮段,21,120.4080186002,23.0736275535
126,D31,左鎮區,6754,左鎮段,21-1,120.4081574222,23.0739278328
127,D31,左鎮區,6754,左鎮段,21-4,120.4082226961,23.0739328943
128,D31,左鎮區,6754,左鎮段,89,120.4082184324,23.0729556789
129,D31,左鎮區,6754,左鎮段,90,120.4083642907,23.0728127634
130,D31,左鎮區,6754,左鎮段,91,120.4086124481,23.0727209785
131,D31,左鎮區,6754,左鎮段,92,120.4086219046,23.0736114795
132,D31,左鎮區,6754,左鎮段,93,120.4092256629,23.0738234132
